Date,Firm,Strategist,Stock Allocation %,2002 Close
2002-05-17,Wachovia,Rod Smyth,85.0,1300.0
2002-05-24,Bank of America,Thomas McManus,50.0,1150.0
2002-05-24,Bear Stearns,,,
2002-05-24,CIBC,Subodh Kumar,75.0,1375.0
2002-05-24,CSFB,Thomas Galvin,70.0,1375.0
2002-05-24,Deutsche Bank,,,
2002-05-24,Goldman Sachs,Abby Joseph Cohen,75.0,1362.0
2002-05-24,JPMorgan,,50.0,950.0
2002-05-24,Lehman,Jeffrey Applegate,80.0,1200.0
2002-05-24,Merrill Lynch,Richard Bernstein,50.0,1200.0
2002-05-24,Morgan Stanley,Steve Galbraith,70.0,1225.0
2002-05-24,Prudential,Ed Yardeni,70.0,1250.0
2002-05-24,Salomon SB,Committee,75.0,1325.0
2002-05-24,UBS,Ed Kerschner,77.0,1360.0
2002-05-24,Wachovia,Rod Smyth,85.0,1300.0
2002-05-31,Bank of America,Thomas McManus,50.0,1150.0
2002-05-31,Bear Stearns,,,
2002-05-31,CIBC,Subodh Kumar,75.0,1375.0
2002-05-31,CSFB,Thomas Galvin,70.0,1375.0
2002-05-31,Deutsche Bank,,,
2002-05-31,Goldman Sachs,Abby Joseph Cohen,75.0,1362.0
2002-05-31,JPMorgan,,50.0,950.0
2002-05-31,Lehman,Jeffrey Applegate,80.0,1200.0
2002-05-31,Merrill Lynch,Richard Bernstein,50.0,1200.0
2002-05-31,Morgan Stanley,Steve Galbraith,70.0,1225.0
2002-05-31,Prudential,Ed Yardeni,70.0,1250.0
2002-05-31,Salomon SB,Committee,75.0,1325.0
2002-05-31,UBS,Ed Kerschner,80.0,1360.0
2002-05-31,Wachovia,Rod Smyth,85.0,1300.0
2002-06-07,Bank of America,Thomas McManus,50.0,1150.0
2002-06-07,Bear Stearns,,,
2002-06-07,CIBC,Subodh Kumar,75.0,1375.0
2002-06-07,CSFB,Thomas Galvin,70.0,1375.0
2002-06-07,Deutsche Bank,,,
2002-06-07,Goldman Sachs,Abby Joseph Cohen,75.0,1362.0
2002-06-07,JPMorgan,,50.0,950.0
2002-06-07,Lehman,Jeffrey Applegate,80.0,1200.0
2002-06-07,Merrill Lynch,Richard Bernstein,50.0,1200.0
2002-06-07,Morgan Stanley,Steve Galbraith,70.0,1225.0
2002-06-07,Prudential,Ed Yardeni,70.0,1250.0
2002-06-07,Salomon SB,Committee,75.0,1325.0
