,Author,Date,Firm,Strategist,Stock Allocation %,2009 Close,2009 EPS,2010 Close,2010 EPS,Reweighted Allocation
152,Lynn Thomasson,2009-03-13,Morgan Stanley,Jason Todd,,825.0,40.0,,,
153,Lynn Thomasson,2009-03-13,RBC,Myles Zyblock,,1050.0,55.0,,,
154,Lynn Thomasson,2009-03-13,UBS,David Bianco,,1100.0,51.0,,,
177,Lynn Thomasson,2009-03-23,Bank of America,Richard Bernstein,,1030.0,42.0,,,
178,Lynn Thomasson,2009-03-23,Barclays,Barry Knapp,,757.0,41.0,,,
179,Lynn Thomasson,2009-03-23,Citigroup,Tobias Levkovich,,1000.0,51.0,,,
180,Lynn Thomasson,2009-03-23,Credit Suisse,Andrew Garthwaite,,920.0,58.0,,,
181,Lynn Thomasson,2009-03-23,Deutsche Bank,Binky Chadha,,900.0,39.5,,,
182,Lynn Thomasson,2009-03-23,Goldman Sachs,David Kostin,,940.0,40.0,,,
183,Lynn Thomasson,2009-03-23,HSBC,Kevin Gardiner,,900.0,,,,
184,Lynn Thomasson,2009-03-23,JPMorgan,Thomas Lee,,1100.0,65.0,,,
185,Lynn Thomasson,2009-03-23,Morgan Stanley,Jason Todd,,825.0,40.0,,,
186,Lynn Thomasson,2009-03-23,RBC,Myles Zyblock,,1050.0,55.0,,,
187,Lynn Thomasson,2009-03-23,UBS,David Bianco,,1100.0,51.0,,,
166,Lynn Thomasson,2009-03-25,Bank of America,Richard Bernstein,,1030.0,42.0,,,
167,Lynn Thomasson,2009-03-25,Barclays,Barry Knapp,,757.0,41.0,,,
168,Lynn Thomasson,2009-03-25,Citigroup,Tobias Levkovich,,1000.0,51.0,,,
169,Lynn Thomasson,2009-03-25,Credit Suisse,Andrew Garthwaite,,920.0,58.0,,,
170,Lynn Thomasson,2009-03-25,Deutsche Bank,Binky Chadha,,900.0,39.5,,,
171,Lynn Thomasson,2009-03-25,Goldman Sachs,David Kostin,,940.0,40.0,,,
172,Lynn Thomasson,2009-03-25,HSBC,Kevin Gardiner,,900.0,,,,
173,Lynn Thomasson,2009-03-25,JPMorgan,Thomas Lee,,1100.0,57.0,,,
174,Lynn Thomasson,2009-03-25,Morgan Stanley,Jason Todd,,825.0,40.0,,,
175,Lynn Thomasson,2009-03-25,RBC,Myles Zyblock,,1050.0,55.0,,,
176,Lynn Thomasson,2009-03-25,UBS,David Bianco,,1100.0,51.0,,,
188,Lynn Thomasson,2009-03-30,Bank of America,Richard Bernstein,,1030.0,42.0,,,
189,Lynn Thomasson,2009-03-30,Barclays,Barry Knapp,,757.0,41.0,,,
190,Lynn Thomasson,2009-03-30,Citigroup,Tobias Levkovich,,1000.0,51.0,,,
191,Lynn Thomasson,2009-03-30,Credit Suisse,Andrew Garthwaite,,920.0,58.0,,,
192,Lynn Thomasson,2009-03-30,Deutsche Bank,Binky Chadha,,900.0,39.5,,,
193,Lynn Thomasson,2009-03-30,Goldman Sachs,David Kostin,,940.0,40.0,,,
194,Lynn Thomasson,2009-03-30,HSBC,Kevin Gardiner,,900.0,,,,
195,Lynn Thomasson,2009-03-30,JPMorgan,Thomas Lee,,1100.0,57.0,,,
196,Lynn Thomasson,2009-03-30,Morgan Stanley,Jason Todd,,825.0,40.0,,,
197,Lynn Thomasson,2009-03-30,RBC,Myles Zyblock,,1050.0,55.0,,,
198,Lynn Thomasson,2009-03-30,UBS,David Bianco,,1100.0,51.0,,,
199,Lynn Thomasson,2009-04-07,Bank of America,Richard Bernstein,,1030.0,42.0,,,
200,Lynn Thomasson,2009-04-07,Barclays,Barry Knapp,,757.0,41.0,,,
201,Lynn Thomasson,2009-04-07,Citigroup,Tobias Levkovich,,1000.0,51.0,,,
202,Lynn Thomasson,2009-04-07,Credit Suisse,Andrew Garthwaite,,920.0,58.0,,,
203,Lynn Thomasson,2009-04-07,Deutsche Bank,Binky Chadha,,900.0,39.5,,,
